"1.Current Semester (like 1st,2nd..)",2. Current CGPA ,3. Did you know programming before university? ,4. Grade in Data Structures and Algorithms (DSA) course ,5. Mathematics skills rating ,6. Your current CP status? ,7.Hours per week spent on CP ,8. Platforms used regularly ,9. Current rating on main platform (write 0 if no rating) ,10. Number of contests participated per month ,11. Do you do upsolving after contests? ,12. New problems solved per month ,13. Time spent on a problem before checking editorial ,14. Understanding of standard data structures ,15. Comfortable with DP/Graph Theory problems? ,16. Programming language used for CP ,17. Mental state when rating decreases ,18. Experience burnout frequently? ,19. Feel demotivated comparing with friends ratings ,20. Motivation for doing CP ,21. Fear of failure prevents contest participation? ,22. Have a mentor/senior guide? ,23. University programming club support quality ,24. Problems with internet/PC access? ,25. Academic pressure affects CP time? ,26. Family pressure to focus only on grades? ,27. Taken 15+ consecutive days break in last 3 months? ,28. Ever seriously thought about quitting CP? ,29. See yourself active in CP 6 months from now? ,30. Duration of CP practice before quitting ,31. Main reasons for quitting ,32. Highest rating before quitting (0 if no rating) ,33.  Practice habit in the month before quitting ,34.  Ever seriously thought about quitting CP?,35. Had mentor/senior support? ,"36. Have you taken 15+ consecutive days of break during your CP journey?""",37. Understanding of standard data structures when you quit ,38.  Could you see yourself quitting CP 6 months prior? ,39. How many people in your friend circle did CP? ,40. Knowledge about CP ,41. Main reasons for not starting CP ,42. CP mandatory for good job? ,43. Current focus area ,44. Ever tried solving 1 problem on online judge? ,45. Would start CP if good mentorship existed? ,46. Medium chosen for building programming logic ,47. Number of friends doing CP ,48. Interest in starting CP in future? ,49. Would start if given easy roadmap and mentor? 
3rd,3.91,Yes,A+ or A,3,Currently active in CP,30,"Codeforces, Vjudge, AtCoder, CodeChef",1792,12,Always,60-75,1-2 hours,3.0,Yes,C++,2.0,Sometimes,2.0,I enjoy it,No,No,5.0,No,Sometimes,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,
6th,3.92,No,B+ or B,4,Currently active in CP,14,Codeforces,1250,5,Sometimes,30,30 minutes - 1 hour,4.0,Somewhat,C++,2.0,Sometimes,1.0,I enjoy it,No,No,1.0,No,"Yes, often",No,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,
2nd,3.67,No,A+ or A,3,Currently active in CP,5hr,"Codeforces, LeetCode",975,3-4,Always,Yes,30 minutes - 1 hour,3.0,No,C++,4.0,Sometimes,5.0,Both,"Yes, often",No,5.0,Yes,"Yes, often",Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,
4th,3.9,Yes,A+ or A,4,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, I know well","More interest in development (Web/App), Others",5.0,Academic results (CGPA),"Yes, solved 1-2 then stopped",Maybe,Project-based learning,1-2 people,"Yes, want to learn",Maybe
2nd,3.75,Yes,C+ or C,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Interest in other tracks (Web Dev/ML),921,Became irregular,No,Yes,Yes,2.0,Maybe,More than 5 people,,,,,,,,,,
5,3.98,Yes,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Rating not increasing/no progress,0,Stopped completely,No,No,Yes,4.0,No,1-2 people,,,,,,,,,,
2nd,3.97,Yes,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Academic pressure (CGPA focus),764,Became irregular,No,Yes,No,4.0,Maybe,,,,,,,,,,,
3rd,3.5,No,Haven't taken it yet,3,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heard something about it,No guidelines or mentor,5.0,Nothing decided yet,"Yes, solved 1-2 then stopped","Yes, definitely",YouTube/online courses,,"Yes, want to learn",Yes
2nd,3.81,Yes,A+ or A,4,Currently active in CP,21,Codeforces,1350,1-2,Sometimes,60,Less than 15 minutes,5.0,Somewhat,C++,5.0,"Yes, frequently",4.0,Both,"Yes, often",No,2.0,No,Sometimes,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,
2nd,3.95,Yes,Haven't taken it yet,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-2 years,Mental stress or burnout,1260,Stopped completely,No,Yes,No,4.0,Yes,1-2 people,,,,,,,,,,
3rd,3.5,No,A+ or A,4,Currently active in CP,10+,"Codeforces, Vjudge",1351,3-5,Sometimes,50+,30 minutes - 1 hour,4.0,Somewhat,C++,4.0,"Yes, frequently",4.0,I enjoy it,No,No,3.0,No,Sometimes,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,
3rd,3.5,Yes,Haven't taken it yet,3,Currently active in CP,38+,"Codeforces, Vjudge, AtCoder",761,4-6,Always,30+,1-2 hours,3.0,Somewhat,C++,3.0,"Yes, frequently",2.0,Both,Sometimes,Yes,4.0,No,Sometimes,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,
7th,3.43,No,B+ or B,3,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, I know well",Seems too difficult,3.0,Web/App Development,"Yes, tried but couldn't solve","Yes, definitely",LeetCode/interview prep sites,1-2 people,"Yes, want to learn",Yes
7th,3.93,Yes,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,More than 2 years,Rating not increasing/no progress,1190,Regular,No,No,No,5.0,No,More than 5 people,,,,,,,,,,
4th semester ,3.9,No,A+ or A,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,Less than 1 month,Lack of guidance or mentor,0,Regular,No,No,No,3.0,Yes,3-5 people,,,,,,,,,,
3rd,3.9,No,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Interest in other tracks (Web Dev/ML),1230,Regular,No,Yes,Yes,3.0,No,3-5 people,,,,,,,,,,
10,3.56,Yes,B+ or B,5,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Academic pressure (CGPA focus),0,Became irregular,Yes,No,Yes,3.0,No,1-2 people,,,,,,,,,,
5th,3.81,No,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Mental stress or burnout,CF 960,Became irregular,No,No,Yes,5.0,Maybe,1-2 people,,,,,,,,,,
3-1,3.95,Yes,A+ or A,5,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Interest in other tracks (Web Dev/ML),870,Became irregular,No,Yes,Yes,5.0,Maybe,3-5 people,,,,,,,,,,
7th,3.62,No,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Interest in other tracks (Web Dev/ML),700,Became irregular,No,No,Yes,4.0,Maybe,1-2 people,,,,,,,,,,
7th,3.5,Yes,B+ or B,3,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, I know well","Lack of time (academic pressure), Not interested, Didn't know it was important",3.0,Web/App Development,"Yes, solved 1-2 then stopped",Maybe,YouTube/online courses,1-2 people,"Maybe, if opportunity comes",Yes
3rd,3.55,No,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Rating not increasing/no progress,952,Regular,No,No,Yes,5.0,Yes,More than 5 people,,,,,,,,,,
7th,3.4,Yes,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-2 years,Mental stress or burnout,841,Became irregular,No,No,Yes,4.0,No,More than 5 people,,,,,,,,,,
4th,3.26,No,C+ or C,2,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, don't know anything","Seems too difficult, Lack of time (academic pressure), Weakness in mathematics, No guidelines or mentor, Don't know where to start",5.0,Nothing decided yet,"Yes, tried but couldn't solve","Yes, definitely",Only lab assignments,,"Yes, want to learn",Yes
4 th,3.2,Yes,B+ or B,3,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, I know well","Seems too difficult, More interest in development (Web/App), Don't know where to start",3.0,Web/App Development,"Yes, tried but couldn't solve",Maybe,Project-based learning,More than 5 people,"Yes, want to learn",Yes
12,3.69,Yes,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Academic pressure (CGPA focus),0,Became irregular,Yes,Yes,Yes,5.0,Maybe,More than 5 people,,,,,,,,,,
1st,3.89,No,A+ or A,4,Currently active in CP,14-15 hours,Codeforces,1067,3-4,Sometimes,30-40,30 minutes - 1 hour,4.0,Somewhat,C++,3.0,Sometimes,4.0,Both,Sometimes,No,3.0,No,Sometimes,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,
5th,4,No,A+ or A,3,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, I know well",No guidelines or mentor,4.0,Data Science/Machine Learning,"Yes, solved 1-2 then stopped","Yes, definitely",YouTube/online courses,,"Maybe, if opportunity comes",Maybe
12,3.69,Yes,A+ or A,4,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heard something about it,Don't know where to start,2.0,Academic results (CGPA),"Yes, solved 1-2 then stopped",Maybe,LeetCode/interview prep sites,More than 5 people,"Maybe, if opportunity comes",Maybe
7th,3.7,No,A+ or A,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,Less than 1 month,Mental stress or burnout,0,Stopped completely,No,Yes,No,5.0,No,1-2 people,,,,,,,,,,
4th,3.7,No,A+ or A,3,Currently active in CP,4,"Codeforces, Vjudge",1200+,1,Sometimes,15,30 minutes - 1 hour,3.0,Somewhat,C++,3.0,Sometimes,4.0,Both,"Yes, often",Yes,4.0,No,Sometimes,No,No,No,Maybe,,,,,,,,,,,,,,,,,,,,
6th,3.5,No,A+ or A,3,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, I know well","No guidelines or mentor, Don't know where to start",3.0,Data Science/Machine Learning,"Yes, solved 1-2 then stopped",Maybe,YouTube/online courses,1-2 people,"Maybe, if opportunity comes",Maybe
6th,3.98,Yes,A+ or A,5,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-2 years,Interest in other tracks (Web Dev/ML),950,Became irregular,No,Yes,Yes,5.0,No,More than 5 people,,,,,,,,,,
10th,3.94,No,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Academic pressure (CGPA focus),896,Became irregular,Yes,Yes,Yes,1.0,No,3-5 people,,,,,,,,,,
8,3.78,No,A+ or A,5,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Rating not increasing/no progress,800,Became irregular,No,No,Yes,5.0,Maybe,More than 5 people,,,,,,,,,,
4,3.8,Yes,A+ or A,5,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heard something about it,Lack of time (academic pressure),3.0,Academic results (CGPA),"No, never tried","Yes, definitely",Only lab assignments,1-2 people,"Yes, want to learn",Yes
2nd year 3rd semester,3.97,No,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Others,870,Regular,No,No,No,5.0,Maybe,1-2 people,,,,,,,,,,
4th,3.33,No,B+ or B,4,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, I know well",Lack of time (academic pressure),5.0,Nothing decided yet,"Yes, solved 1-2 then stopped","Yes, definitely",Only lab assignments,1-2 people,"Yes, want to learn",Yes
2nd,3.81,Yes,Haven't taken it yet,3,Currently active in CP,3/4,"Codeforces, LeetCode, Vjudge",1030,3/4,Sometimes,20-25,30 minutes - 1 hour,4.0,No,C++,4.0,"Yes, frequently",4.0,Both,Sometimes,No,3.0,No,"Yes, often",No,No,No,Maybe,,,,,,,,,,,,,,,,,,,,
Test,Test,No,Haven't taken it yet,1,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, don't know anything",Not interested,1.0,Nothing decided yet,"Yes, tried but couldn't solve",No,Only lab assignments,,"No, have other plans",Yes
4th,3,No,D or below,3,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, I know well",Lack of time (academic pressure),4.0,Academic results (CGPA),"Yes, solved 1-2 then stopped","Yes, definitely",YouTube/online courses,1-2 people,"Yes, want to learn",Yes
10,3.41,Yes,A+ or A,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Mental stress or burnout,860,Became irregular,No,Yes,Yes,4.0,No,3-5 people,,,,,,,,,,
2,3.64,Yes,Haven't taken it yet,3,Currently active in CP,20,"Codeforces, Vjudge, HackerRank",866,2,Sometimes,20,More than 2 hours,5.0,Somewhat,C++,4.0,"Yes, frequently",5.0,Only for job,"Yes, often",Yes,4.0,No,"Yes, often",No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,
1st Year 3rd Semester,4,No,Haven't taken it yet,3,Currently active in CP,7-8,Codeforces,0,0,Never,15,1-2 hours,2.0,No,C++,1.0,No,1.0,Both,"Yes, often",No,2.0,No,"Yes, often",Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,
3.3,3.96,No,A+ or A,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-2 years,Lack of guidance or mentor,961,Became irregular,No,No,Yes,3.0,Yes,1-2 people,,,,,,,,,,
5th,3.59,Yes,A+ or A,3,Currently active in CP,5-6,Codeforces,808,recently didnt participate any contest,Sometimes,10-12,30 minutes - 1 hour,2.0,Somewhat,C++,5.0,"Yes, frequently",3.0,Both,"Yes, often",Yes,5.0,Yes,No,No,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,
2nd,3.34,Yes,B+ or B,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,Less than 1 month,Lack of guidance or mentor,0,Became irregular,Yes,No,Yes,3.0,Maybe,1-2 people,,,,,,,,,,
6th,3.95,No,A+ or A,3,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, I know well",Don't know where to start,4.0,Academic results (CGPA),"Yes, solved 1-2 then stopped","Yes, definitely",Only lab assignments,1-2 people,"Maybe, if opportunity comes",Yes
Completed,3.57,Yes,A+ or A,5,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Rating not increasing/no progress,900 approx,Stopped completely,No,Yes,Yes,4.0,Maybe,More than 5 people,,,,,,,,,,
7,3.93,Yes,A+ or A,5,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,More than 2 years,Lack of guidance or mentor,1150,Regular,No,No,Yes,5.0,Maybe,More than 5 people,,,,,,,,,,
2nd,3.62,No,Haven't taken it yet,3,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heard something about it,"Seems too difficult, Lack of time (academic pressure), Weakness in mathematics, No guidelines or mentor, Don't know where to start, Didn't know it was important",4.0,Academic results (CGPA),"No, never tried","Yes, definitely",Only lab assignments,1-2 people,"Yes, want to learn",Yes
8th,3.85,No,A+ or A,5,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,More than 2 years,Lack of guidance or mentor,1300+,Stopped completely,No,No,Yes,5.0,Maybe,1-2 people,,,,,,,,,,
2nd,3.93,No,Haven't taken it yet,4,Never started CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, I know well","Seems too difficult, Don't know where to start",5.0,Academic results (CGPA),"Yes, solved 1-2 then stopped","Yes, definitely",Only lab assignments,1-2 people,"Yes, want to learn",Yes
8th,3.7,Yes,B+ or B,4,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,Less than 1 month,Academic pressure (CGPA focus),786,Became irregular,Yes,No,No,3.0,Maybe,1-2 people,,,,,,,,,,
7th,3.75,No,A+ or A,3,Currently active in CP,5,"Codeforces, CodeChef",670,1,Sometimes,7,Less than 15 minutes,3.0,No,C++,5.0,"Yes, frequently",5.0,Both,"Yes, often",No,1.0,No,"Yes, often",Yes,Yes,Yes,Maybe,,,,,,,,,,,,,,,,,,,,
7,3.48,No,A+ or A,5,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,6 months - 1 year,Academic pressure (CGPA focus),Forget ,Became irregular,Yes,Yes,Yes,3.0,Maybe,3-5 people,,,,,,,,,,
8th ,3.97,No,A+ or A,3,"Previously did CP, but stopped",,,,,,,,,,,,,,,,,,,,,,,,1-6 months,Interest in other tracks (Web Dev/ML),0,Became irregular,No,Yes,Yes,4.0,Maybe,3-5 people,,,,,,,,,,
1st,3.93,No,Haven't taken it yet,4,Currently active in CP,10 hrs.,Codeforces,0,1,Never,10,30 minutes - 1 hour,1.0,No,C++,1.0,"Yes, frequently",3.0,Only for job,No,Yes,2.0,No,"Yes, often",No,Yes,Yes,Maybe,,,,,,,,,,,,,,,,,,,,
