acceptance_rate,account_age_months,activity_trend_ratio,activity_trend_ratio_1to5,avg_struggle_minutes,avg_struggle_minutes_1to5,burnout_flag,contests_per_month,current_rating,ds_solve_rate,ds_solve_rate_1to5,handle,math_solve_rate,math_solve_rate_1to5,max_rating,months_since_last_submission,post_drop_recovery,problems_solved_per_month,rating_volatility,rating_volatility_1to5,status_proxy,total_contests,total_problems_solved,total_submissions,upsolves_per_contest,upsolves_per_contest_1to5
0.571,38.8,0.2,1,14.7,4,1,0.45,1738,0.545,4,c017433fa845f974,0.63,4,1821,0.8,62.5,1.47,135.4,2,Active,17,56,98,0.059,2
0.51,7.4,0.7,3,461.4,3,0,1.37,1389,0.409,3,3c69b82f19ce503e,0.446,2,1389,0.1,0.0,6.71,130.1,2,Active,10,49,102,0.1,2
0.447,6.9,0.86,3,1516.1,2,0,1.36,895,0.273,1,3af7589001a03dda,0.425,2,938,0.0,0.0,64.31,137.0,2,Active,7,330,826,0.143,3
0.353,30.5,3.56,5,5658.1,1,0,0.48,1200,0.25,1,a7e99d461dc1cf12,0.392,1,1266,5.5,-21.7,2.49,144.5,1,Stopped,12,62,187,0.417,4
0.501,20.9,5.69,5,1187.4,2,0,1.16,813,0.522,4,72ac5972d8fed3d6,0.511,3,972,1.1,22.3,12.37,115.8,3,Active,23,245,535,1.13,5
0.254,55.4,0.3,2,772.5,3,1,0.25,1193,0.16,1,ce34bcafee433565,0.309,1,1293,6.1,42.0,2.56,176.1,1,Stopped,10,102,421,0.2,3
0.511,1.7,0.5,2,7.2,5,0,4.76,906,0.4,3,5b2293650a1b072c,0.52,3,988,0.0,-27.5,13.7,146.5,1,Active,8,23,45,0.0,1
0.515,10.6,1.13,4,134.4,3,0,1.35,1292,0.548,4,68fdb13f1932ac08,0.491,3,1308,0.0,38.5,25.38,130.0,2,Active,14,263,513,0.143,3
0.534,21.1,0.71,3,410.4,3,0,1.55,1430,0.4,3,6bae7bfb5c94c978,0.574,4,1500,3.0,20.2,8.7,101.1,4,Active,28,157,305,0.036,2
0.488,23.1,3.09,5,5662.0,1,0,2.58,1476,0.401,3,c9c0a30f77271f5d,0.507,3,1566,0.2,-0.2,28.89,84.7,5,Active,59,661,1452,0.864,5
0.43,19.8,1.59,4,18.3,4,0,0.27,1210,0.429,3,0ce728031dc54cf9,0.463,2,1210,1.1,0.0,2.62,183.9,1,Active,5,49,114,0.0,1
0.214,9.4,2.82,5,832.2,3,0,0.72,1111,0.2,1,494c12be78206cb6,0.203,1,1111,1.1,0.0,3.5,94.0,5,Active,6,29,145,0.0,1
0.436,29.5,0.02,1,835.5,3,1,0.38,1310,0.434,3,12be632c9efb5016,0.358,1,1770,0.2,-127.0,14.44,236.4,1,Active,11,423,1012,0.727,4
0.473,37.6,5.05,5,611.4,3,0,1.28,1111,0.459,3,bbf7821798372164,0.452,2,1561,4.3,-6.7,7.53,101.5,4,Stopped,30,176,393,0.9,5
0.435,21.2,1.28,4,9195.5,1,0,1.2,1231,0.517,4,57726c5cbcaff9da,0.44,2,1257,0.0,27.6,5.72,104.4,4,Active,24,114,262,0.0,1
0.396,24.1,2.87,5,3687.8,1,0,1.24,1381,0.408,3,836758afc24909c7,0.396,1,1381,0.4,49.0,34.28,130.2,2,Active,13,360,944,0.615,4
0.612,22.9,0.22,1,234.6,3,1,0.6,1266,0.091,1,c035d3f90ca9d66b,0.579,4,1266,2.7,0.0,9.29,115.7,3,Active,11,170,278,0.0,1
0.406,49.3,0.34,2,3968.8,1,1,0.5,1454,0.346,2,b65a7f80b942178c,0.401,2,1518,0.2,26.3,4.16,130.5,2,Active,22,183,453,0.727,4
0.368,3.3,0.97,3,4.7,5,0,1.6,1574,0.5,3,eb7c87b6a81473a7,0.28,1,1685,0.2,0.0,6.38,292.0,1,Active,5,20,57,0.0,1
0.672,13.6,0.15,1,6.9,5,1,1.56,1420,0.75,5,f6c73e4ec4f93caf,0.701,5,1514,3.3,-11.7,12.35,171.5,1,Stopped,16,127,189,0.0,1
0.462,25.1,0.39,2,905.5,2,1,4.0,1259,0.385,2,f8898485bb67e7d3,0.481,3,1534,6.6,8.2,29.09,83.0,5,Stopped,74,538,1174,0.608,4
0.618,42.3,0.65,3,4.5,5,0,0.5,2014,0.611,4,a856bbc8351e8e99,0.678,5,2065,0.2,33.0,13.18,160.3,1,Active,21,555,1020,0.333,3
0.846,17.0,2.96,5,8.7,4,0,0.97,1437,0.812,5,5733407ba39b8f28,0.827,5,1437,2.5,-3.0,10.49,124.7,3,Active,14,151,182,0.071,2
0.444,75.0,0.62,2,22718.1,1,0,1.23,2125,0.349,2,2efc762eda44d509,0.442,2,2283,1.5,8.4,14.88,89.5,5,Active,82,988,2286,0.524,4
0.693,27.5,0.42,2,12656.3,1,1,0.22,835,1.0,5,b86c1351d531bf5c,0.675,5,835,0.0,0.0,9.67,127.7,2,Active,6,266,411,0.0,1
0.437,17.0,0.01,1,49.3,4,1,0.91,1453,0.397,3,55009828a4ff3f1d,0.418,2,1453,0.5,45.4,14.49,130.9,2,Active,15,239,554,0.4,4
0.419,43.8,0.07,1,3.7,5,1,0.21,749,0.419,3,6fee948fd9101c51,0.231,1,923,1.1,-20.0,1.57,153.1,1,Active,9,67,160,0.0,1
0.638,41.4,1.06,4,4709.2,1,0,0.12,984,0.933,5,658e9a9e3277d884,0.645,5,984,0.0,0.0,3.19,102.5,4,Active,5,132,229,1.0,5
0.474,15.8,1.08,4,2407.0,2,0,1.65,1704,0.419,3,c87e404fe719e6ec,0.479,3,1726,0.0,42.2,65.21,118.4,3,Active,26,1027,2360,1.0,5
0.597,40.4,11.68,5,1558.6,2,0,1.61,2262,0.487,3,08b51b0806f7fb85,0.617,4,2262,1.2,43.5,16.69,103.1,4,Active,63,655,1116,0.222,3
0.417,4.7,0.62,2,218.0,3,0,6.09,956,0.233,1,74ce9925505a0d73,0.378,1,973,2.6,12.0,16.4,118.6,3,Active,13,35,84,0.308,3
0.521,34.4,2.23,5,3363.4,2,0,0.63,1074,0.492,3,0aa5da0acc534f1a,0.567,4,1153,2.6,25.7,8.61,108.6,4,Active,20,272,539,0.15,3
0.48,52.7,0.14,1,19209.2,1,1,1.03,1219,0.346,2,c23863751a3255b8,0.467,2,1219,0.1,7.3,16.52,99.1,4,Active,54,869,1846,0.481,4
0.33,20.4,0.55,2,1547.8,2,0,0.26,1035,0.441,3,2bdd153c0e2d27dc,0.362,1,1035,1.2,0.0,12.59,104.7,4,Active,5,239,745,1.0,5
0.437,9.5,0.34,2,2.4,5,1,1.8,1846,0.467,3,11ceef555e615fc6,0.52,3,1846,0.5,-9.0,5.5,188.4,1,Active,16,49,126,0.0,1
0.515,47.7,0.58,2,4.0,5,0,0.15,2200,0.692,5,3e614972d4aa4a90,0.406,2,2200,1.1,0.0,0.74,254.3,1,Active,7,34,68,0.286,3
0.385,56.0,3.42,5,11446.5,1,0,1.04,1605,0.363,2,fe67ac35092b778b,0.516,3,1841,0.1,14.9,14.3,103.4,4,Active,58,799,2146,0.759,4
0.455,26.8,0.7,3,1577.7,2,0,0.89,1192,0.32,2,fb4763f3c240a29c,0.46,2,1231,3.2,15.1,3.48,122.4,3,Stopped,21,82,189,0.095,2
0.697,46.3,0.29,2,2588.3,2,1,0.5,953,0.6,4,7ef30826ba544d1a,0.703,5,1128,0.4,-8.3,5.48,106.2,4,Active,23,250,426,0.043,2
0.463,9.4,6.04,5,2994.6,2,0,1.77,981,0.562,4,39c3891907faef34,0.446,2,995,0.0,24.8,16.38,107.0,4,Active,16,148,324,0.5,4
0.592,22.6,1.26,4,3425.2,2,0,1.05,1467,0.481,3,8e05f1f710bdb426,0.567,4,1467,0.3,39.0,21.74,112.6,4,Active,23,476,813,0.435,4
0.456,8.7,0.18,1,908.6,2,1,1.18,644,0.5,3,5c8c16df784253c8,0.391,1,849,0.4,-53.3,10.85,142.4,2,Active,9,83,193,0.333,3
0.51,38.5,0.26,1,27.4,4,1,1.58,940,0.357,2,d1c58bfc6ff8e8e2,0.533,3,1055,6.9,-1.2,3.29,82.2,5,Stopped,50,104,210,0.22,3
0.596,22.4,0.25,1,407.5,3,1,1.11,1253,0.75,5,4ef0410dbfb6bf5d,0.57,4,1253,12.2,42.5,11.22,112.2,4,Stopped,11,111,188,0.0,1
0.582,6.9,0.67,3,1691.4,2,0,2.19,1712,0.552,4,e846dfc840e4c428,0.604,4,1712,0.0,72.5,49.17,173.7,1,Active,15,337,644,2.467,5
0.512,111.0,0.38,2,648.8,3,1,1.86,2128,0.42,3,c8cb89809bd9fa5f,0.52,3,2412,6.1,10.3,30.23,121.2,3,Stopped,195,3167,7085,1.262,5
0.516,5.5,2.05,4,197.5,3,0,1.34,1012,0.385,2,e50ff4576c35b0e9,0.41,2,1012,0.2,0.0,5.35,121.4,3,Active,7,28,64,0.714,4
0.273,49.4,2.2,5,14760.5,1,0,0.48,1697,0.214,1,56e6a01d8f3586ae,0.359,1,1791,1.8,4.7,4.83,123.5,3,Active,23,230,851,1.0,5
0.487,31.2,0.53,2,1225.0,2,0,2.33,315,0.476,3,91d9da2192c6a325,0.55,4,1415,0.4,-10.8,14.26,90.0,5,Active,72,440,1005,0.611,4
0.312,11.4,0.52,2,12.0,4,0,1.51,1237,0.25,1,9afbf0f619d287e1,0.302,1,1237,2.6,86.7,3.47,137.7,2,Active,13,30,96,0.0,1
0.54,63.9,0.06,1,8318.0,1,1,0.52,1232,0.3,2,18de4231f5feb61d,0.537,3,1291,0.5,30.2,5.53,96.7,4,Active,33,350,661,0.424,4
0.5,16.2,0.06,1,8404.1,1,1,1.64,1005,1.0,5,67fbf44ee7295c3c,0.47,2,1005,0.5,51.8,11.09,91.4,5,Active,23,156,312,0.348,3
0.446,41.5,1.49,4,2737.5,2,0,1.91,1899,0.311,2,cf00575dd95004b8,0.488,3,2111,0.0,-1.5,24.55,90.5,5,Active,79,1017,2370,0.57,4
0.553,29.9,0.13,1,2792.3,2,1,0.99,599,0.49,3,75f17993c76dc79a,0.603,4,801,9.7,-7.9,24.84,109.6,4,Stopped,20,503,926,1.05,5
0.45,28.4,2.5,5,14176.3,1,0,0.4,1085,0.5,3,3bdb65c938712879,0.431,2,1085,0.5,72.5,10.12,134.1,2,Active,10,255,616,0.6,4
0.367,11.0,6.5,5,3.1,5,0,0.8,861,0.0,1,509be8471ffe272f,0.353,1,861,1.0,0.0,1.11,116.2,3,Active,8,11,30,0.0,1
0.382,35.0,0.11,1,2158.5,2,1,1.56,1050,0.192,1,97b997ff37d02d4b,0.39,1,1389,0.1,-10.2,8.5,93.4,5,Active,53,289,777,0.283,3
0.361,3.3,1.77,4,73.0,4,0,1.7,960,0.361,2,677e88d94fce1c5f,0.5,3,960,0.4,0.0,4.09,144.9,1,Active,5,12,36,0.0,1
0.52,17.6,0.72,3,2265.5,2,0,1.66,1220,0.58,4,7e2d2af0f9a502d5,0.519,3,1220,0.1,14.0,24.27,98.4,4,Active,29,424,819,0.207,3
0.359,18.8,0.17,1,2777.1,2,1,1.24,1093,0.257,1,a626c38e251f9ca5,0.369,1,1165,0.3,5.2,16.54,109.2,4,Active,23,306,873,0.783,4
0.508,33.7,0.07,1,5.0,5,1,0.4,1013,0.143,1,3c4eaa6c4de1d5e5,0.65,5,1126,4.9,52.0,1.05,130.8,2,Stopped,11,29,59,0.182,3
0.572,43.9,0.16,1,1226.9,2,1,0.83,1027,0.485,3,d9665a3d3d9b1689,0.654,5,1205,0.1,-4.5,4.78,107.6,4,Active,31,178,313,1.161,5
0.435,27.6,0.35,2,921.8,2,1,2.47,1702,0.418,3,65029e6192f8ce8f,0.454,2,1902,0.5,11.1,20.17,107.2,4,Active,53,433,1016,0.377,3
0.468,23.8,0.03,1,794.2,3,1,0.46,1166,0.111,1,b0eb31d01908e2fc,0.515,3,1300,1.9,0.0,1.6,138.4,2,Active,10,35,77,0.3,3
0.447,52.3,0.67,3,12401.5,1,0,0.72,1257,0.458,3,99facabf8b3fb531,0.455,2,1276,2.5,17.6,21.3,78.3,5,Active,36,1058,2657,1.278,5
0.425,12.0,0.53,2,3241.7,2,0,1.66,856,0.182,1,49c619e622112714,0.425,2,992,4.3,-21.0,16.86,128.1,2,Stopped,12,122,294,0.833,5
0.48,75.4,0.13,1,4728.7,1,1,1.02,1158,0.386,2,545f3adfe26d11d1,0.475,2,1365,2.0,6.8,6.43,88.2,5,Active,73,462,993,0.479,4
0.584,145.8,0.42,2,643.0,3,1,0.3,1449,0.42,3,70a5cba0823ccfec,0.618,4,1800,0.9,0.2,5.91,250.6,1,Active,44,854,1589,1.045,5
0.458,90.2,1.03,3,32.1,4,0,0.77,940,0.373,2,df94cceb27a9b257,0.484,3,1551,1.2,-6.8,1.78,196.3,1,Active,67,156,343,0.179,3
0.344,8.1,0.45,2,820.3,3,1,1.67,679,0.0,1,2a7a08118e07b1a2,0.355,1,860,0.5,-4.8,9.89,140.4,2,Active,11,65,192,0.0,1
0.571,10.0,0.34,2,131.1,3,1,2.91,1163,0.524,4,0ad83f306092fe23,0.667,5,1239,2.1,16.8,11.51,103.2,4,Active,23,91,189,1.217,5
0.314,35.6,1.97,4,102.0,3,0,2.1,1229,0.256,1,6b8d7f7b8a0c8ed5,0.288,1,1536,0.5,5.6,6.72,92.6,5,Active,56,179,574,0.054,2
0.575,58.6,0.33,2,835.9,3,1,0.4,1217,0.417,3,96da088fd6d34187,0.5,3,1300,0.6,17.4,2.05,106.0,4,Active,23,119,207,0.478,4
0.599,25.2,0.52,2,135.6,3,0,1.69,881,0.385,2,3b6fdc3652c45315,0.619,4,896,2.0,13.3,20.89,117.2,3,Active,11,136,297,0.182,3
0.734,54.8,2.01,4,20.4,4,0,0.18,728,0.821,5,c7ae036eb176c59b,0.69,5,902,1.0,-54.0,2.42,137.4,2,Active,9,120,229,0.667,4
0.374,18.4,0.63,3,9591.8,1,0,2.96,1347,0.329,2,c8bea698d9adb1d1,0.384,1,1347,0.0,17.4,41.45,79.3,5,Active,52,727,1981,0.212,3
0.204,81.4,0.15,1,13.2,4,1,1.6,766,0.219,1,657707408f907f12,0.236,1,1215,39.3,-5.8,2.15,101.6,4,Stopped,55,74,367,0.0,1
0.5,68.7,1.85,4,3768.3,1,0,1.12,1353,0.435,3,597c558a41ee5c50,0.529,3,1400,0.1,8.3,10.96,79.3,5,Active,77,752,1562,0.935,5
0.741,23.7,423.0,5,180.9,3,0,1.42,1402,0.656,5,ed84841e652d5c75,0.712,5,1402,0.4,-12.0,13.71,117.1,3,Active,32,308,424,0.094,2
0.53,76.6,3.4,5,2973.8,2,0,0.5,2101,0.429,3,fd984a90f9b28196,0.634,4,2405,0.1,-7.1,17.06,149.0,1,Active,38,1300,2498,0.395,4
0.701,13.0,3.19,5,11864.4,1,0,0.4,966,0.167,1,acbcb04ead0843cd,0.8,5,966,0.0,0.0,3.68,149.4,1,Active,5,46,67,0.0,1
0.482,49.1,0.41,2,24531.9,1,1,1.27,1125,0.434,3,675bc7b2abca8e4a,0.458,2,1157,0.0,9.0,13.0,73.5,5,Active,62,637,1332,0.952,5
0.416,90.2,0.38,2,2627.8,2,1,1.41,2190,0.414,3,c4add037c8ed05fe,0.411,2,2422,52.0,17.2,28.8,226.3,1,Stopped,54,1101,2744,0.704,4
0.268,53.3,1.89,4,16102.6,1,0,0.38,780,0.087,1,9b1c754b1dcda3c1,0.367,1,869,0.2,-18.5,0.68,120.9,3,Active,18,32,127,0.278,3
0.341,22.3,0.12,1,3169.3,2,1,0.9,803,0.4,3,0f5ea476bb8a7c10,0.357,1,901,0.8,30.8,4.04,104.4,4,Active,18,81,249,0.5,4
0.369,98.0,0.23,1,10.9,4,1,0.39,1000,0.462,3,fdc6959b364d7dc3,0.326,1,1369,0.4,-10.5,0.69,236.3,1,Active,38,67,187,0.053,2
0.632,30.1,0.27,1,10.0,4,1,0.17,1017,0.632,5,bb92b1f0e778dcd5,0.556,4,1017,0.4,0.0,0.41,119.5,3,Active,5,12,19,0.0,1
0.622,5.6,0.54,2,5.6,5,0,0.99,1716,0.4,3,887f7ebb0438e5f4,0.6,4,1716,0.5,0.0,4.57,208.5,1,Active,5,23,37,0.0,1
0.607,61.5,0.11,1,3800.8,1,1,0.56,1240,0.653,5,583bf87655484f01,0.625,4,1301,1.7,8.1,8.68,104.2,4,Active,28,432,1013,3.036,5
0.32,13.4,0.19,1,3.0,5,1,0.77,1133,0.25,1,425ffd6c433384ac,0.333,1,1133,0.5,26.0,1.53,141.4,2,Active,8,16,50,0.0,1
0.379,19.5,94.0,5,121.5,3,0,0.5,946,0.2,1,0efa32ec8e3969b6,0.4,1,981,0.8,0.0,2.5,130.9,2,Active,7,35,95,0.286,3
0.294,31.0,2.83,5,161.5,3,0,0.23,1037,0.238,1,d01a8b803efea181,0.299,1,1048,0.8,0.0,1.43,138.8,2,Active,7,43,153,2.571,5
0.58,28.0,1.68,4,1228.0,2,0,1.81,1417,0.706,5,c2d6438423f6b8c7,0.544,4,1417,6.0,24.7,20.08,100.6,4,Stopped,40,443,819,0.725,4
0.358,21.5,5.36,5,5075.2,1,0,0.87,1188,0.417,3,7410bc3a59633949,0.349,1,1193,4.3,32.0,6.76,125.7,3,Stopped,15,116,388,0.467,4
0.545,5.5,1.1,4,3.3,5,0,1.76,1642,0.125,1,ae48642282f38456,0.692,5,1642,1.3,0.0,6.05,158.9,1,Active,7,24,44,0.0,1
0.513,17.5,0.2,1,302.0,3,1,1.4,1528,0.472,3,7f190c8e53a72846,0.523,3,1727,0.9,-34.2,22.04,140.3,2,Active,20,315,659,1.2,5
0.47,34.2,0.86,3,6209.2,1,0,0.98,610,0.2,1,3e2fcd4d47b725fb,0.424,2,830,17.0,-28.6,9.21,135.7,2,Stopped,13,122,298,0.308,3
0.479,5.6,0.78,3,1103.1,2,0,1.02,880,0.385,2,e5f0af99493c8d96,0.435,2,880,0.5,0.0,10.61,120.3,3,Active,5,52,121,0.6,4
0.47,71.8,0.84,3,3836.9,1,0,0.64,1674,0.432,3,c9b94a30c35c0d7b,0.488,3,1767,1.4,43.8,10.29,105.8,4,Active,45,723,1582,1.222,5
0.481,21.5,1.54,4,3530.1,1,0,1.42,1017,0.318,2,7add335f6cc5e0fc,0.481,3,1195,0.3,-17.5,19.44,108.4,4,Active,30,411,921,0.233,3
0.618,30.8,0.21,1,3616.5,1,1,0.63,1492,0.633,5,16b0a2e36a029eb4,0.552,4,1492,5.6,6.5,18.86,137.9,2,Stopped,16,476,803,0.25,3
0.518,28.1,3.61,5,6183.8,1,0,0.51,1191,0.5,3,22ff224d7781184e,0.525,3,1248,0.4,-27.0,4.69,129.7,2,Active,9,83,166,0.0,1
0.395,5.1,0.58,2,1351.8,2,0,1.78,1406,0.333,2,3bc5ab59cbd42c4b,0.449,2,1512,0.0,59.0,16.97,195.1,1,Active,9,86,223,0.444,4
0.373,13.6,0.37,2,47.5,4,1,1.56,1716,0.317,2,22cdcd326d66f81a,0.396,1,1724,0.4,41.0,9.27,166.8,1,Active,15,89,276,0.733,4
0.466,33.7,2.18,5,743.1,3,0,1.69,1598,0.292,2,1cf0a9113cb62dc9,0.494,3,1598,0.1,10.5,6.76,99.4,4,Active,22,88,191,0.727,4
0.307,5.9,0.62,2,1136.8,2,0,0.94,989,0.333,2,545fd0a1a8b6b18f,0.283,1,989,0.6,0.0,14.03,133.1,2,Active,5,75,254,0.4,4
0.51,14.1,0.21,1,874.6,2,1,1.02,854,0.2,1,826a3bdea42f18a8,0.464,2,1042,0.3,1.8,3.78,131.2,2,Active,14,52,104,0.286,3
0.532,19.7,1.14,4,1624.8,2,0,1.0,1046,0.439,3,c90996fbc2579f0a,0.494,3,1077,2.6,3.5,20.12,125.9,3,Active,17,341,643,0.294,3
0.406,22.4,0.28,1,64.5,4,1,1.12,489,0.406,3,275c601e4df2cb78,0.36,1,834,9.0,-57.6,2.07,128.3,2,Stopped,13,24,64,0.0,1
0.412,33.2,0.51,2,231.8,3,0,0.44,892,0.243,1,844a7ea818bb75ec,0.402,2,1024,1.1,14.2,5.71,137.4,2,Active,14,182,464,0.643,4
0.348,35.7,0.13,1,3119.2,2,1,0.14,933,0.348,2,29286150279ed587,0.333,1,933,0.3,0.0,1.41,105.1,4,Active,5,50,158,0.2,3
0.448,9.5,0.74,3,9092.5,1,0,0.79,856,0.5,3,fe2bc44ef3da51ab,0.387,1,856,0.0,0.0,8.4,128.5,2,Active,7,74,172,0.571,4
0.317,17.6,0.8,3,8.1,4,0,0.46,1105,0.0,1,9b2edf030fbb8a8a,0.231,1,1105,6.7,0.0,1.84,122.6,3,Stopped,5,20,63,0.0,1
0.412,11.6,0.03,1,0.5,5,1,1.0,785,0.0,1,396a5571ac1e1b15,0.538,3,788,6.5,0.0,2.8,128.0,2,Stopped,5,14,34,0.0,1
0.304,17.1,0.03,1,3369.7,2,1,0.32,839,0.111,1,1994f46f99949446,0.393,1,848,1.2,0.0,1.01,127.0,3,Active,5,16,69,0.4,4
0.421,16.8,1.71,4,1.5,5,0,2.94,855,0.421,3,1575808fb434bdb9,0.308,1,855,14.3,0.0,4.71,143.6,1,Stopped,5,8,19,0.0,1
0.253,11.0,1.32,4,3885.3,1,0,0.56,998,0.143,1,7bf98739000c5c97,0.243,1,1020,0.2,0.0,6.56,121.2,3,Active,6,70,288,0.0,1
0.509,20.9,0.47,2,239.8,3,1,1.89,1008,0.355,2,36a62259f5e4427a,0.55,4,1159,0.5,-13.3,9.75,146.9,1,Active,12,62,171,2.917,5
0.671,13.0,0.45,2,411.5,3,1,2.67,1493,0.724,5,3d47c5ae950a006b,0.712,5,1493,0.0,13.0,37.0,110.3,4,Active,24,333,496,0.417,4
0.416,30.7,1.48,4,4898.7,1,0,1.65,1090,0.444,3,fe7eea82924e3925,0.396,1,1090,1.1,9.0,8.19,81.7,5,Active,44,219,555,0.318,3
0.436,22.6,0.51,2,8370.0,1,0,2.22,1256,0.557,4,ddc3c39e36231836,0.43,2,1256,2.8,25.8,24.1,91.7,5,Active,43,466,1127,0.512,4
0.587,12.4,0.56,2,64.3,4,0,1.21,954,0.667,5,a4e005f6a63a6d33,0.778,5,1003,1.1,-1.0,4.96,135.9,2,Active,10,41,75,0.1,2
0.347,23.1,0.05,1,1653.0,2,1,1.29,1194,0.15,1,0cfe3683179e99e4,0.354,1,1194,1.4,-3.2,3.08,112.8,4,Active,28,67,225,0.5,4
